WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
the                      7     3     3     3    57   439   176     3     3   394    3511
most                   -99     0     0     0     0   440     0     0     0     0       0
luxurious                7     3     9     9    64   441   172     1     1   395       3
experience             -99     0     0     0     0   442     0     0     0     0       0
we'd                     7     4     4     4    11   443   192     0     0   396     -99
ever                   -99     0     0     0     0   444     0     0     0     0       0
had,                     7     4     4     3    22   445   112     1     1   397     130
and                    -99     0     0     0     0   446     0     0     0     0       0
was                      7     4     3     3    30   447   152     0     0   403     383
certainly                7     4     9     9    37   448   193     3     3   402      21
not                      7     4     3     3    47   449   218     3     3   399     277
a                      -99     0     0     0     0   450     0     0     0     0       0
centre                   7     4     6     6    55   451   156     5     5   400      16
centre                   7     4     6     6    52   451   193     2     2   404      16
of                     -99     0     0     0     0   452     0     0     0     0       0
gastronomic              7     4    11    11    62   453   130     2     2   401       1
gastronomic              7     4    11    11    63   453   160     3     3   405       1
gastronomic              7     4    11    11    67   453   183     7     7   406       1
excellence.              7     5    11    10    11   454   117    11    11   407       1
But                    -99     0     0     0     0   455     0     0     0     0       0
that                   -99     0     0     0     0   456     0     0     0     0       0
really                   7     5     6     6    23   457   187     2     2   408      34
wasn't                   7     5     6     6    33   458   176     5     5   409     -99
the                    -99     0     0     0     0   459     0     0     0     0       0
point.                   7     5     6     5    43   460   173     4     4   410      26
It                     -99     0     0     0     0   461     0     0     0     0       0
took                     7     5     4     4    53   462   173     4     4   411      17
us                     -99     0     0     0     0   463     0     0     0     0       0
to                     -99     0     0     0     0   464     0     0     0     0       0
the                      7     5     3     3    62   465   190     2     2   412    3511
places                   7     5     6     6    68   466   190     4     4   413       9
we                     -99     0     0     0     0   467     0     0     0     0       0
wanted                   7     5     6     6    74   468   494     0     0   414      14
to                     -99     0     0     0     0   469     0     0     0     0       0
see;                   -99     0     0     0     0   470     0     0     0     0       0
and                      8     1     3     3    10   471   297     2     2   415    1283
the                    -99     0     0     0     0   472     0     0     0     0       0
expert                   8     1     6     6    17   473   192     1     1   416       4
guide                    8     1     5     5    25   474   222     2     2   417       9
we                     -99     0     0     0     0   475     0     0     0     0       0
had,                     8     1     4     3    32   476   146     0     0   418     130
who                      8     1     3     3    37   477   162     0     0   419     157
led                    -99     0     0     0     0   478     0     0     0     0       0
us                       8     1     2     2    46   479   257     1     1   420      86
round                    8     1     5     5    52   480   159     4     4   421      11
the                    -99     0     0     0     0   481     0     0     0     0       0
trails                   8     1     6     6    59   482   279     1     1   422       3
and                    -99     0     0     0     0   483     0     0     0     0       0
explained                8     1     9     9    70   484   204     1     1   423       7
the                    -99     0     0     0     0   485     0     0     0     0       0
flora                  -99     0     0     0     0   486     0     0     0     0       0
and                      8     2     3     3    12   487   212     2     2   424    1283
fauna                  -99     0     0     0     0   488     0     0     0     0       0
to                     -99     0     0     0     0   489     0     0     0     0       0
us,                      8     2     3     2    23   490   200     0     0   425      86
was                    -99     0     0     0     0   491     0     0     0     0       0
the                      8     2     3     3    31   492   142     0     0   426    3511
best                   -99     0     0     0     0   493     0     0     0     0       0
we                       8     2     2     2    42   494   308     2     2   427     179
could                  -99     0     0     0     0   495     0     0     0     0       0
possibly                 8     2     8     8    51   496   150     2     2   428       4
have                     8     2     4     4    58   497   155     0     0   429     361
wanted.                  8     2     7     6    63   498    80     0     0   430      14
You                    -99     0     0     0     0   499     0     0     0     0       0
need                   -99     0     0     0     0   500     0     0     0     0       0
not                    -99     0     0     0     0   501     0     0     0     0       0
be                     -99     0     0     0     0   502     0     0     0     0       0
an                       8     3     2     2    13   503   267     1     1   432     195
inveterate               8     3    10    10    22   504   396     7     7   433       1
inveterate               8     3    10    10    25   504   342    10    10   437       1
inveterate               8     3    10    10    23   504   330     8     8   438       1
inveterate               8     3    10    10    25   504   241    10    10   439       1
birdwatcher              8     3    11    11    32   505   300     6     6   434       1
birdwatcher              8     3    11    11    37   505   174    11    11   435       1
birdwatcher              8     3    11    11    26   505   409     0     0   440       1
or                     -99     0     0     0     0   506     0     0     0     0       0
naturalist               8     3    10    10    46   507   170     5     5   436       1
naturalist               8     3    10    10    42   507   154     1     1   441       1
naturalist               8     3    10    10    48   507   207     7     7   442       1
to                     -99     0     0     0     0   508     0     0     0     0       0
be                       8     3     2     2    57   509   228     2     2   443     423
captivated               8     3    10    10    62   510   221     4     4   444       1
captivated               8     3    10    10    67   510   248     9     9   445       1
captivated               8     3    10    10    65   510   198     7     7   446       1
captivated               8     3    10    10    68   510   209    10    10   449       1
by                     -99     0     0     0     0   511     0     0     0     0       0
what                     8     3     4     4    74   512   186     2     2   447     125
what                     8     3     4     4    75   512    96     3     3   448     125
you                    -99     0     0     0     0   513     0     0     0     0       0
see.                   -99     0     0     0     0   514     0     0     0     0       0
You                    -99     0     0     0     0   515     0     0     0     0       0
simply                   8     4     6     6    12   516   170     3     3   450      17
simply                   8     4     6     6    10   516   179     1     1   451      17
cannot                   8     4     6     6    21   517   185     5     5   452      11
help                   -99     0     0     0     0   518     0     0     0     0       0
being                    8     4     5     5    29   519   166     1     1   453      54
taken                    8     4     5     5    36   520   149     2     2   454      21
over                     8     4     4     4    44   521   176     4     4   455      76
by                     -99     0     0     0     0   522     0     0     0     0       0
a                      -99     0     0     0     0   523     0     0     0     0       0
sense                    8     4     5     5    50   524   157     0     0   456      14
of                       8     4     2     2    57   525   184     1     1   457    1757
wonder                   8     4     6     6    64   526   158     5     5   458       8
at                     -99     0     0     0     0   527     0     0     0     0       0
this                     8     4     4     4    69   528   142     0     0   459     293
different              -99     0     0     0     0   529     0     0     0     0       0
and                      8     5     3     3    13   530   155     3     3   460    1283
special                -99     0     0     0     0   531     0     0     0     0       0
world.                   8     5     6     5    23   532   218     1     1   461      60
Darwin's                 8     5     8     8    41   533   437     8     8   465     -99
visit,                   8     5     6     5    45   534   232     3     3   463      12
in                       8     5     2     2    49   535   229     0     0   462    1091
1835,                    8     5     5     4    56   536   141     4     4   464     -99
1835,                    8     5     5     4    56   536   725     4     4   466     -99
aboard                 -99     0     0     0     0   537     0     0     0     0       0
HMS                      8     5     3     3    65   538   201     0     0   467       1
HMS                      8     5     3     3    67   538   234     2     2   469       1
Beagle                   8     5     6     6    69   539   270     0     0   468       1
Beagle                   8     5     6     6    70   539   176     1     1   470       1
Beagle                   8     5     6     6    71   539    63     2     2   471       1
lasted                   9     1     6     6     0   540   198     0     0   473       1
five                     9     1     4     4     8   541   160     1     1   474      18
times                  -99     0     0     0     0   542     0     0     0     0       0
longer.                  9     1     7     6    20   543   137     2     2   475      14
He                     -99     0     0     0     0   544     0     0     0     0       0
marvelled                9     1     9     9    32   545   405     3     3   477       3
at                     -99     0     0     0     0   546     0     0     0     0       0
the                      9     1     3     3    45   547   189     3     3   478    3511
tortoises                9     1     9     9    51   548   238     5     5   479       2
and                    -99     0     0     0     0   549     0     0     0     0       0
the                      9     1     3     3    63   550   168     3     3   480    3511
iguanas,                 9     1     8     7    68   551   152     4     4   481       2
but                    -99     0     0     0     0   552     0     0     0     0       0
it                       9     1     2     2    77   553   206     0     0   482     544
was                      9     2     3     3     3   554   191     3     3   483     383
the                    -99     0     0     0     0   555     0     0     0     0       0
tiny                     9     2     4     4    12   556   249     4     4   484      13
finches                -99     0     0     0     0   557     0     0     0     0       0
that                   -99     0     0     0     0   558     0     0     0     0       0
jolted                   9     2     6     6    29   559   211     3     3   485       1
his                    -99     0     0     0     0   560     0     0     0     0       0
imagination              9     2    11    11    41   561   232     4     4   486       5
most                     9     2     4     4    52   562   187     3     3   487      93
most                     9     2     4     4    52   562   240     3     3   489      93
vividly.                 9     2     8     7    58   563   200     4     4   488       1
They                   -99     0     0     0     0   564     0     0     0     0       0
are                      9     2     3     3    69   565   162     1     1   490     351
still                    9     2     5     5    75   566   106     3     3   491      52
called                   9     3     6     6     3   567    91     3     3   492      22
Darwin's               -99     0     0     0     0   568     0     0     0     0       0
Finches                  9     3     7     7    21   569   243     5     5   494       3
Finches                  9     3     7     7    21   569   104     5     5   495       3
in                     -99     0     0     0     0   570     0     0     0     0       0
his                    -99     0     0     0     0   571     0     0     0     0       0
honour.                  9     3     7     6    31   572   285     0     0   496       2
There                  -99     0     0     0     0   573     0     0     0     0       0
are                      9     3     3     3    45   574   188     0     0   497     351
13                       9     3     2     2    51   575   216     2     2   498     -99
different              -99     0     0     0     0   576     0     0     0     0       0
species                  9     3     7     7    62   577   231     0     0   499       7
of                       9     3     2     2    71   578   166     1     1   500    1757
the                    -99     0     0     0     0   579     0     0     0     0       0
finches                  9     4     7     7     4   580   354     4     4   501       3
across                 -99     0     0     0     0   581     0     0     0     0       0
the                      9     4     3     3    17   582   167     2     2   502    3511
islands                  9     4     7     7    25   583   195     6     6   503       7
islands                  9     4     7     7    24   583   234     5     5   505       7
(our                   -99     0     0     0     0   584     0     0     0     0       0
group                    9     4     5     5    33   585   340     1     1   504      18
managed                  9     4     7     7    40   586   159     2     2   506       3
to                       9     4     2     2    48   587   147     2     2   511    1597
see                      9     4     3     3    50   588   243     1     1   507      41
see                      9     4     3     3    52   588   212     3     3   512      41
five                     9     4     4     4    56   589   207     3     3   510      18
or                       9     4     2     2    59   590   171     1     1   508     194
six).                    9     4     5     3    64   591   144     3     3   513      13
The                      9     4     3     3    68   592   277     1     1   514    3511
fascination              9     5    11    11     5   593   201     5     5   515       2
is                       9     5     2     2    14   594   203     2     2   518     717
in                     -99     0     0     0     0   595     0     0     0     0       0
the                      9     5     3     3    19   596   178     1     1   516    3511
beaks.                   9     5     6     5    26   597   182     4     4   517       1
Each                   -99     0     0     0     0   598     0     0     0     0       0
species                  9     5     7     7    34   599   183     0     0   519       7
species                  9     5     7     7    41   599   155     7     7   520       7
on                     -99     0     0     0     0   600     0     0     0     0       0
each                   -99     0     0     0     0   601     0     0     0     0       0
island                   9     5     6     6    52   602   237     2     2   521       8
has,                     9     5     4     3    60   603   175     3     3   522     239
over                     9     5     4     4    65   604   212     3     3   523      76
time,                    9     5     5     4    69   605   192     2     2   524     105
developed               10     1     9     9     1   606   201     1     1   525       4
a                      -99     0     0     0     0   607     0     0     0     0       0
differently             10     1    11    11    14   608   166     2     2   526       1
shaped                  10     1     6     6    27   609   235     3     3   527       6
beak,                   10     1     5     4    35   610   162     4     4   528       1
adapted                 10     1     7     7    43   611   162     6     6   529       1
to                     -99     0     0     0     0   612     0     0     0     0       0
the                    -99     0     0     0     0   613     0     0     0     0       0
vegetation              10     1    10    10    52   614   199     0     0   530       2
and                     10     1     3     3    64   615   188     1     1   531    1283
the                     10     1     3     3    68   616   104     1     1   532    3511
competition             10     2    11    11     4   617   104     4     4   533       4
competition             10     2    11    11     2   617   485     2     2   538       4
in                     -99     0     0     0     0   618     0     0     0     0       0
that                    10     2     4     4    17   619   171     2     2   537     871
that                    10     2     4     4    15   619   188     0     0   539     871
particular              10     2    10    10    25   620   237     5     5   535      13
particular              10     2    10    10    30   620   124    10    10   536      13
location.              -99     0     0     0     0   621     0     0     0     0       0
These                  -99     0     0     0     0   622     0     0     0     0       0
tiny                    10     2     4     4    51   623   129     4     4   540      13
tiny                    10     2     4     4    47   623   268     0     0   541      13
tiny                    10     2     4     4    50   623   156     3     3   542      13
birds                  -99     0     0     0     0   624     0     0     0     0       0
with                    10     2     4     4    62   625   167     4     4   544     393
tiny                    10     2     4     4    66   626   184     3     3   543      13
distinctions            10     2    12    12    72   627   195     4     4   545       2
distinctions            10     2    12    12    75   627   138     7     7   546       2
helped                  10     3     6     6     4   628   283     4     4   547       8
to                     -99     0     0     0     0   629     0     0     0     0       0
produce                 10     3     7     7    17   630   178     7     7   548       9
one                    -99     0     0     0     0   631     0     0     0     0       0
of                     -99     0     0     0     0   632     0     0     0     0       0
the                     10     3     3     3    28   633   164     3     3   549    3511
greatest                10     3     8     8    36   634   177     7     7   550       7
ever                    10     3     4     4    42   635   216     4     4   551      38
advances                10     3     8     8    49   636    81     6     6   552       5
in                     -99     0     0     0     0   637     0     0     0     0       0
the                     10     3     3     3    57   638    89     2     2   554    3511
history                -99     0     0     0     0   639     0     0     0     0       0
of                     -99     0     0     0     0   640     0     0     0     0       0
scientific              10     3    10    10    71   641   190     1     1   555      14
scientific              10     3    10    10    76   641    99     6     6   556      14
thought.                10     4     8     7     7   642   197     7     7   557      24
Since                  -99     0     0     0     0   643     0     0     0     0       0
Darwin                  10     4     6     6    19   644   297     0     0   558       2
Darwin                  10     4     6     6    21   644   222     2     2   564       2
Darwin                  10     4     6     6    19   644    64     0     0   565       2
called,                 10     4     7     6    29   645   159     3     3   559      22
called,                 10     4     7     6    32   645   309     6     6   562      22
called,                 10     4     7     6    31   645   229     5     5   566      22
these                   10     4     5     5    37   646    53     3     3   563      73
islands                 10     4     7     7    40   647   204     0     0   560       7
islands                 10     4     7     7    43   647   185     3     3   567       7
on                      10     4     2     2    48   648   158     0     0   561     417
the                    -99     0     0     0     0   649     0     0     0     0       0
Equator                 10     4     7     7    56   650   174     1     1   568       1
have                    10     4     4     4    67   651   108     4     4   569     361
struggled              -99     0     0     0     0   652     0     0     0     0       0
to                     -99     0     0     0     0   653     0     0     0     0       0
maintain                10     5     8     8     8   654   113     8     8   574       5
the                     10     5     3     3     9   655   207     0     0   570    3511
the                     10     5     3     3     9   655   217     0     0   573    3511
fragile                -99     0     0     0     0   656     0     0     0     0       0
balance                 10     5     7     7    25   657   243     4     4   571       3
balance                 10     5     7     7    21   657    61     0     0   572       3
balance                 10     5     7     7    21   657   120     0     0   575       3
of                      10     5     2     2    31   658   193     2     2   577    1757
their                   10     5     5     5    35   659   228     3     3   576     225
ecology.                10     5     8     7    42   660   259     4     4   578       1
Over                    10     5     4     4    49   661   169     2     2   579      76
the                    -99     0     0     0     0   662     0     0     0     0       0
years,                  10     5     6     5    56   663    77     0     0   553     104
years,                  10     5     6     5    57   663   272     1     1   580     104
the                     10     5     3     3    64   664   172     1     1   581    3511
indigenous              10     5    10    10    69   665   170     2     2   582       1
indigenous              10     5    10    10    72   665   260     5     5   583       1
animal                  11     1     6     6     2   666   192     2     2   584       3
population              11     1    10    10     8   667   198     1     1   585      11
population              11     1    10    10    14   667   152     7     7   586      11
has                    -99     0     0     0     0   668     0     0     0     0       0
been                   -99     0     0     0     0   669     0     0     0     0       0
under                   11     1     5     5    27   670   203     0     0   587      32
under                   11     1     5     5    32   670    98     5     5   588      32
increasing              11     1    10    10    40   671   249     7     7   589       3
threat,                 11     1     7     6    47   672   211     3     3   590       7
from                    11     1     4     4    53   673    79     1     1   591     248
from                    11     1     4     4    55   673   167     3     3   593     248
wayward                 11     1     7     7    57   674   190     0     0   594       1
wayward                 11     1     7     7    62   674   190     5     5   595       1
fishermen,              11     1    10     9    70   675   153     5     5   596       1
fishermen,              11     1    10     9    75   675   137    10    10   597       1
or                     -99     0     0     0     0   676     0     0     0     0       0
from                   -99     0     0     0     0   677     0     0     0     0       0
feral                   11     2     5     5     8   678   222     3     3   598       1
dogs,                   11     2     5     4    12   679   183     1     1   599      12
goats                   11     2     5     5    18   680   258     1     1   600       1
and                     11     2     3     3    24   681   227     1     1   601    1283
rats                    11     2     4     4    30   682   354     3     3   602       1
escaping                11     2     8     8    35   683   194     3     3   603       2
from                    11     2     4     4    43   684   184     2     2   604     248
human                   11     2     5     5    49   685   187     3     3   605      25
settlements             11     2    11    11    55   686   211     3     3   606       1
settlements             11     2    11    11    61   686   221     9     9   607       1
or                     -99     0     0     0     0   687     0     0     0     0       0
boats.                  11     2     6     5    67   688   176     0     0   608       3
boats.                  11     2     6     5    68   688   146     1     1   609       3
Recently               -99     0     0     0     0   689     0     0     0     0       0
the                     11     3     3     3     9   690   413     0     0   610    3511
Ecuador                -99     0     0     0     0   691     0     0     0     0       0
authorities             11     3    11    11    24   692   168     3     3   611       9
authorities             11     3    11    11    31   692   113    10    10   612       9
started                 11     3     7     7    39   693   215     6     6   613       8
trying                  11     3     6     6    45   694   203     4     4   614      23
to                     -99     0     0     0     0   695     0     0     0     0       0
eradicate               11     3     9     9    52   696   248     1     1   615       1
eradicate               11     3     9     9    56   696   148     5     5   616       1
the                     11     3     3     3    62   697   186     1     1   617    3511
the                     11     3     3     3    64   697    92     3     3   618    3511
invading               -99     0     0     0     0   698     0     0     0     0       0
species,               -99     0     0     0     0   699     0     0     0     0       0
and                    -99     0     0     0     0   700     0     0     0     0       0
have                    11     4     4     4    13   701   247     0     0   619     361
have                    11     4     4     4    16   701   546     3     3   626     361
now                     11     4     3     3    21   702    77     3     3   625     107
succeeded               11     4     9     9    22   703   208     0     0   620       2
succeeded               11     4     9     9    30   703   212     8     8   621       2
succeeded               11     4     9     9    31   703   166     9     9   627       2
in                     -99     0     0     0     0   704     0     0     0     0       0
freeing                 11     4     7     7    37   705   172     2     2   622       2
freeing                 11     4     7     7    38   705   186     3     3   628       2
some                    11     4     4     4    43   706   183     0     0   623      86
some                    11     4     4     4    43   706   154     0     0   629      86
entire                  11     4     6     6    50   707   256     2     2   624       5
entire                  11     4     6     6    50   707   180     2     2   630       5
entire                  11     4     6     6    53   707   144     5     5   631       5
islands                 11     4     7     7    58   708   154     3     3   632       7
from                    11     4     4     4    66   709   180     3     3   633     248
non-native              11     4    10    10    69   710   154     1     1   634     -99
creatures.             -99     0     0     0     0   711     0     0     0     0       0
A                      -99     0     0     0     0   712     0     0     0     0       0
giant                  -99     0     0     0     0   713     0     0     0     0       0
tortoise                11     5     8     8    27   714   167     8     8   638       1
tortoise                11     5     8     8    24   714   192     5     5   639       1
tortoise                11     5     8     8    27   714   166     8     8   642       1
tortoise                11     5     8     8    24   714   166     5     5   643       1
tortoise                11     5     8     8    24   714    76     5     5   647       1
tortoise                11     5     8     8    22   714   188     3     3   651       1
tortoise                11     5     8     8    21   714   116     2     2   652       1
breeding                11     5     8     8    34   715   145     6     6   637       1
breeding                11     5     8     8    31   715   141     3     3   644       1
breeding                11     5     8     8    29   715   201     1     1   648       1
programme               11     5     9     9    40   716   116     3     3   640       8
programme               11     5     9     9    42   716   173     5     5   641       8
programme               11     5     9     9    37   716   236     0     0   649       8
programme               11     5     9     9    43   716   120     6     6   650       8
is                      11     5     2     2    49   717   144     2     2   653     717
in                     -99     0     0     0     0   718     0     0     0     0       0
place,                  11     5     6     5    56   719   203     3     3   654      22
rearing                 11     5     7     7    65   720   165     5     5   655       1
infants                 11     5     7     7    71   721   316     3     3   636       1
infants                 11     5     7     7    71   721   220     3     3   656       1
infants                 11     5     7     7    75   721   223     7     7   657       1
in                      11     5     2     2    77   722   335     1     1   658    1091
a                      -99     0     0     0     0   723     0     0     0     0       0
protected               12     1     9     9     5   724   191     5     5   660     -99
environment             12     1    11    11    14   725   210     4     4   661      10
at                     -99     0     0     0     0   726     0     0     0     0       0
a                       12     1     1     1    26   727   182     1     1   662    1434
time                   -99     0     0     0     0   728     0     0     0     0       0
when                    12     1     4     4    33   729    84     1     1   663     144
they                    12     1     4     4    37   730   137     0     0   666     258
are                     12     1     3     3    45   731   243     3     3   665     351
at                     -99     0     0     0     0   732     0     0     0     0       0
greatest                12     1     8     8    52   733   201     3     3   667       7
risk,                   12     1     5     4    60   734   242     2     2   668      13
and                    -99     0     0     0     0   735     0     0     0     0       0
then                    12     1     4     4    68   736   181     0     0   669      71
returning               12     2     9     9     8   737   267     8     8   670     -99
them                   -99     0     0     0     0   738     0     0     0     0       0
to                     -99     0     0     0     0   739     0     0     0     0       0
the                    -99     0     0     0     0   740     0     0     0     0       0
wild.                   12     2     5     4    22   741   257     0     0   671       3
And                    -99     0     0     0     0   742     0     0     0     0       0
there                   12     2     5     5    36   743   199     4     4   672     189
are                    -99     0     0     0     0   744     0     0     0     0       0
strict                  12     2     6     6    44   745   194     2     2   673       3
laws                    12     2     4     4    50   746   168     1     1   674       5
now                     12     2     3     3    54   747   193     0     0   675     107
in                      12     2     2     2    60   748   206     2     2   676    1091
place                  -99     0     0     0     0   749     0     0     0     0       0
against                 12     2     7     7    67   750   124     0     0   677      36
harming                -99     0     0     0     0   751     0     0     0     0       0
or                      12     3     2     2    10   752   262     2     2   678     194
destroying              12     3    10    10    20   753   235     9     9   679       3
the                    -99     0     0     0     0   754     0     0     0     0       0
wildlife                12     3     8     8    31   755   189     5     5   680       5
-                      -99     0     0     0     0   756     0     0     0     0       0
though                  12     3     6     6    42   757   168     5     5   681      37
only                   -99     0     0     0     0   758     0     0     0     0       0
recently                12     3     8     8    49   759   156     0     0   682      12
recently                12     3     8     8    53   759   141     4     4   683      12
recently                12     3     8     8    57   759   116     8     8   687      12
a                       12     3     1     1    59   760   186     1     1   686    1434
group                   12     3     5     5    60   761   163     0     0   684      18
of                      12     3     2     2    68   762   184     2     2   685    1757
12                      12     3     2     2    69   763   123     0     0   688     -99
12                      12     3     2     2    71   763   131     2     2   689     -99
slain                  -99     0     0     0     0   764     0     0     0     0       0
tortoises              -99     0     0     0     0   765     0     0     0     0       0
was                    -99     0     0     0     0   766     0     0     0     0       0
discovered              12     4    10    10    16   767   310     2     2   690       5
killed                  12     4     6     6    25   768   219     0     0   691       5
apparently              12     4    10    10    33   769   202     1     1   692       5
apparently              12     4    10    10    40   769   107     8     8   693       5
for                    -99     0     0     0     0   770     0     0     0     0       0
the                    -99     0     0     0     0   771     0     0     0     0       0
Japanese                12     4     8     8    54   772   170     3     3   695       3
aphrodisiac             12     4    11    11    63   773   227     3     3   696       1
aphrodisiac             12     4    11    11    70   773   241    10    10   697       1
aphrodisiac             12     4    11    11    65   773   294     5     5   698       1
aphrodisiac             12     4    11    11    63   773   239     3     3   699       1
aphrodisiac             12     4    11    11    65   773   290     5     5   700       1
aphrodisiac             12     4    11    11    66   773   410     6     6   701       1
aphrodisiac             12     4    11    11    68   773   207     8     8   702       1
market.                -99     0     0     0     0   774     0     0     0     0       0
The                    -99     0     0     0     0   775     0     0     0     0       0
most                   -99     0     0     0     0   776     0     0     0     0       0
serious                 12     5     7     7    15   777   391     6     6   703      11
ecological              12     5    10    10    21   778   176     4     4   704       1
threat,                 12     5     7     6    29   779   183     1     1   705       7
threat,                 12     5     7     6    34   779   147     6     6   706       7
however,                12     5     8     7    42   780   154     6     6   707      38
is                     -99     0     0     0     0   781     0     0     0     0       0
posed                   12     5     5     5    48   782    88     0     0   694       2
posed                   12     5     5     5    50   782   173     2     2   708       2
by                     -99     0     0     0     0   783     0     0     0     0       0
the                     12     5     3     3    57   784   146     0     0   709    3511
the                     12     5     3     3    60   784   118     3     3   712    3511
the                     12     5     3     3    57   784   276     0     0   713    3511
greatest                12     5     8     8    63   785   156     2     2   710       7
greatest                12     5     8     8    69   785   425     8     8   711       7
economic               -99     0     0     0     0   786     0     0     0     0       0
boon                    13     1     4     4     1   787   269     1     1   715       1
the                     13     1     3     3     6   788    54     1     1   718    3511
islands                 13     1     7     7    10   789   159     1     1   716       7
islands                 13     1     7     7    16   789   116     7     7   719       7
have                   -99     0     0     0     0   790     0     0     0     0       0
ever                    13     1     4     4    26   791   347     4     4   720      38
had:                   -99     0     0     0     0   792     0     0     0     0       0
tourism.                13     1     8     7    33   793   211     1     1   721       3
Ninety                  13     1     6     6    46   794   286     5     5   722       1
boats,                  13     1     6     5    51   795   177     3     3   723       3
ranging                 13     1     7     7    59   796   358     4     4   724       2
in                      13     1     2     2    63   797   164     0     0   725    1091
size                    13     1     4     4    68   798   281     2     2   726      10
size                    13     1     4     4    67   798   187     1     1   727      10
from                   -99     0     0     0     0   799     0     0     0     0       0
12                      13     1     2     2    77   800   150     1     1   728     -99
passengers              13     2    10    10     2   801   163     2     2   729       3
to                     -99     0     0     0     0   802     0     0     0     0       0
100,                    13     2     4     3    15   803   172     1     1   730     -99
do                     -99     0     0     0     0   804     0     0     0     0       0
the                     13     2     3     3    24   805   185     2     2   731    3511
rounds                 -99     0     0     0     0   806     0     0     0     0       0
of                      13     2     2     2    33   807   153     0     0   732    1757
the                    -99     0     0     0     0   808     0     0     0     0       0
islands.                13     2     8     7    44   809   183     4     4   733       7
And                    -99     0     0     0     0   810     0     0     0     0       0
on                     -99     0     0     0     0   811     0     0     0     0       0
the                     13     2     3     3    56   812   198     0     0   734    3511
whole,                  13     2     6     5    63   813   172     3     3   735      12
the                    -99     0     0     0     0   814     0     0     0     0       0
schedules               13     2     9     9    74   815   183     3     3   736       1
schedules               13     2     9     9    77   815   146     6     6   737       1
are                     13     3     3     3     2   816   209     2     2   738     351
are                     13     3     3     3     0   816   132     0     0   739     351
managed                -99     0     0     0     0   817     0     0     0     0       0
well.                  -99     0     0     0     0   818     0     0     0     0       0
The                    -99     0     0     0     0   819     0     0     0     0       0
itineraries             13     3    11    11    27   820   234     5     5   740       1
itineraries             13     3    11    11    24   820   261     2     2   742       1
are                    -99     0     0     0     0   821     0     0     0     0       0
staggered,              13     3    10     9    38   822   234     0     0   741       1
staggered,              13     3    10     9    40   822   139     2     2   743       1
so                     -99     0     0     0     0   823     0     0     0     0       0
that                    13     3     4     4    55   824   180     3     3   744     871
at                     -99     0     0     0     0   825     0     0     0     0       0
most                    13     3     4     4    64   826    78     4     4   745      93
two                    -99     0     0     0     0   827     0     0     0     0       0
or                     -99     0     0     0     0   828     0     0     0     0       0
three                  -99     0     0     0     0   829     0     0     0     0       0
boats                   13     4     5     5     4   830   262     4     4   747       3
might                  -99     0     0     0     0   831     0     0     0     0       0
appear                 -99     0     0     0     0   832     0     0     0     0       0
at                      13     4     2     2    21   833   180     2     2   748     269
one                    -99     0     0     0     0   834     0     0     0     0       0
location                13     4     8     8    29   835   168     3     3   749       5
at                     -99     0     0     0     0   836     0     0     0     0       0
the                     13     4     3     3    41   837   164     3     3   750    3511
same                   -99     0     0     0     0   838     0     0     0     0       0
time.                  -99     0     0     0     0   839     0     0     0     0       0
When                   -99     0     0     0     0   840     0     0     0     0       0
you                     13     4     3     3    61   841   208     3     3   751     179
go                     -99     0     0     0     0   842     0     0     0     0       0
ashore                  13     4     6     6    69   843   168     4     4   752       3
you                     13     4     3     3    75   844   109     3     3   753     179
have                   -99     0     0     0     0   845     0     0     0     0       0
to                     -99     0     0     0     0   846     0     0     0     0       0
